Phecode 	 Gwas Source 	 Gwas ID 	 Description	 GWAS URL  	.Method 	 Tuning Parameter 	 # SNPS  	 P-Value 	 OR  	 OR_CI  	 Psuedo-R2 	 Brier Score 	 AUC Estimate 	 AUC 95% CI 	 Hosmer-Lemeshow P  	  Hosmer-Lemeshow Chi-square 	 Odds Ratio Estimate 	 Odds Ratio ORCI1  	 Odds Ratio ORCI2 	 PRSweb 	 Nominal Significance 	 WARNING_REVERSED_EFFECT 	 Prswebprefix 	 Reference URl  
174.1	Michailidou K et al. 2018	Onco_iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	Lassosum	s=0.5;Lambda=0.008859	61635	5.1e-54	1.656	1.554,  1.766	0.0546	0.135	0.633	0.616,  0.649	0.0669	14.6	4.03	2.78	5.85	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-ER-positive-BRCA_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-09	P<=5e-09	264	1.7e-46	1.577	1.482,  1.678	0.0455	0.136	0.625	0.609,  0.641	0.175	11.5	2.56	1.68	3.9	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-08	P<=5e-08	334	1.6e-47	1.584	1.488,  1.686	0.0462	0.136	0.626	0.609,  0.642	0.0773	14.2	3.32	2.24	4.93	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-07	P<=5e-07	464	8e-49	1.597	1.5,  1.7	0.0476	0.135	0.627	0.611,  0.643	0.335	9.09	3.38	2.28	5.02	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-06	P<=5e-06	712	3.8e-49	1.6	1.503,  1.704	0.0484	0.135	0.628	0.612,  0.644	0.0624	14.8	3.06	2.04	4.59	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-05	P<=5e-05	1307	1.9e-52	1.632	1.533,  1.738	0.0521	0.135	0.634	0.618,  0.65	0.15	12.0	2.75	1.81	4.17	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	PRS-CS		1119140	1e-65	1.772	1.659,  1.891	0.0661	0.133	0.647	0.631,  0.664	0.81	4.49	3.22	2.15	4.81	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P&T	P<=0.000398	3038	2.2e-53	1.643	1.542,  1.75	0.0532	0.135	0.635	0.619,  0.651	0.318	9.29	2.84	1.88	4.28	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	Onco_iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	Lassosum	s=0.5;Lambda=0.004281	118388	1.2e-58	1.7	1.594,  1.813	0.0592	0.134	0.639	0.622,  0.655	0.452	7.82	2.48	1.63	3.77	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_Onco-iCOGS-Overall-BRCA_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	P_5e-09	P<=5e-09	24	4e-23	1.352	1.274,  1.435	0.0208	0.138	0.587	0.57,  0.603	0.0286	17.1	2.37	1.53	3.67	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	P_5e-08	P<=5e-08	41	3.6e-28	1.402	1.32,  1.489	0.0259	0.137	0.596	0.58,  0.613	0.0879	13.8	1.8	1.12	2.91	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	P_5e-07	P<=5e-07	64	1e-30	1.428	1.344,  1.518	0.0283	0.137	0.6	0.584,  0.617	0.0903	13.7	2.47	1.59	3.83	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	P_5e-06	P<=5e-06	109	3.3e-34	1.463	1.376,  1.555	0.0318	0.137	0.605	0.589,  0.622	0.029	17.1	2.21	1.41	3.45	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	P_5e-05	P<=5e-05	289	3.2e-29	1.418	1.334,  1.507	0.0266	0.137	0.597	0.58,  0.613	0.202	11.0	1.93	1.21	3.09	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	PRS-CS		1119237	2.1e-26	1.391	1.309,  1.478	0.0248	0.137	0.589	0.572,  0.606	0.334	9.1	1.79	1.12	2.86	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	P&T	P<=1.58e-06	84	2.8e-33	1.453	1.367,  1.544	0.0307	0.137	0.604	0.588,  0.62	0.0669	14.6	2.09	1.31	3.32	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	UKB GWAS (PheCode)	UKBB_SAIGE_HRC_X174.1	Breast cancer [female]	ftp://share.sph.umich.edu/UKBB_SAIGE_HRC/	Lassosum	s=0.5;Lambda=0.01438	6977	2.4e-36	1.477	1.39,  1.57	0.034	0.137	0.611	0.594,  0.627	0.317	9.31	1.94	1.21	3.11	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_UKBB-SAIGE-HRC-X174.1_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=30104761
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-09	P<=5e-09	8	8.4e-10	1.205	1.135,  1.278	0.00839	0.139	0.55	0.534,  0.567	6.23E-4	27.3	1.74	1.08	2.81	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-08	P<=5e-08	10	1.6e-11	1.229	1.157,  1.305	0.0097	0.139	0.555	0.538,  0.572	3.17E-4	29.0	1.88	1.17	3.03	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-07	P<=5e-07	14	2.1e-13	1.249	1.177,  1.326	0.0115	0.139	0.561	0.544,  0.577	0.00181	24.6	1.69	1.03	2.76	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-06	P<=5e-06	35	1.8e-09	1.199	1.13,  1.272	0.00747	0.139	0.55	0.533,  0.566	4.74E-8	49.7	1.99	1.25	3.18	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-05	P<=5e-05	158	4e-04	1.114	1.049,  1.182	0.00285	0.14	0.531	0.514,  0.548	3.72E-5	34.2	1.53	0.917	2.54	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	PRS-CS		1115376	4.2e-06	1.151	1.084,  1.221	0.00453	0.139	0.54	0.523,  0.557	0.00356	22.9	1.51	0.907	2.51	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P&T	P<=7.94e-09	9	6.5e-11	1.22	1.149,  1.295	0.00934	0.139	0.553	0.536,  0.57	0.00411	22.5	1.88	1.18	2.99	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_negative_BRCA	Breast cancer [female]; ER negative	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	Lassosum	s=0.9;Lambda=0.01129	270	1.6e-11	1.225	1.155,  1.299	0.00979	0.139	0.556	0.539,  0.573	0.0186	18.4	2.11	1.34	3.33	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-negative-BRCA_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-09	P<=5e-09	63	2.4e-28	1.404	1.322,  1.491	0.0259	0.137	0.594	0.577,  0.611	0.0919	13.6	2.13	1.36	3.34	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-08	P<=5e-08	86	1.2e-30	1.427	1.343,  1.516	0.0285	0.137	0.598	0.581,  0.614	0.285	9.73	2.28	1.46	3.56	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-07	P<=5e-07	113	6.1e-32	1.439	1.354,  1.529	0.0299	0.137	0.601	0.584,  0.617	0.363	8.76	2.49	1.61	3.85	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-06	P<=5e-06	185	3.2e-33	1.454	1.368,  1.546	0.0305	0.137	0.6	0.584,  0.616	0.035	16.6	2.94	1.95	4.44	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-05	P<=5e-05	423	5.7e-27	1.398	1.315,  1.486	0.0248	0.137	0.591	0.574,  0.608	0.312	9.38	2.41	1.56	3.71	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	PRS-CS		1115436	4.2e-39	1.509	1.418,  1.605	0.0383	0.136	0.612	0.595,  0.629	0.968	2.35	3.75	2.55	5.51	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P&T	P<=2.51e-05	310	1.2e-30	1.43	1.346,  1.52	0.0281	0.137	0.595	0.578,  0.611	0.529	7.07	2.98	1.98	4.47	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_ER_positive_BRCA	Breast cancer [female]; ER positive	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	Lassosum	s=0.9;Lambda=0.008859	98026	2.7e-38	1.501	1.411,  1.596	0.037	0.136	0.611	0.594,  0.628	0.487	7.47	2.29	1.47	3.59	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-ER-positive-BRCA_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-09	P<=5e-09	77	1.4e-34	1.464	1.377,  1.556	0.0323	0.137	0.605	0.588,  0.621	0.0242	17.6	2.33	1.51	3.6	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_P_5e-09_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-08	P<=5e-08	110	2.8e-37	1.489	1.401,  1.583	0.0354	0.137	0.608	0.592,  0.625	0.0637	14.8	2.51	1.63	3.86	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_P_5e-08_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-07	P<=5e-07	154	1.4e-40	1.52	1.43,  1.617	0.0389	0.136	0.616	0.599,  0.632	0.02	18.2	2.28	1.46	3.54	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_P_5e-07_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-06	P<=5e-06	246	1.2e-40	1.522	1.431,  1.619	0.0388	0.136	0.615	0.598,  0.631	0.132	12.5	2.8	1.85	4.25	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_P_5e-06_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P_5e-05	P<=5e-05	534	8.9e-35	1.471	1.383,  1.564	0.0322	0.137	0.608	0.592,  0.624	0.134	12.4	2.44	1.56	3.81	FALSE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_P_5e-05_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	PRS-CS		1115484	1.3e-45	1.568	1.473,  1.668	0.0443	0.135	0.621	0.605,  0.638	0.46	7.73	3.43	2.32	5.05	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_PRS-CS_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	P&T	P<=2e-05	363	8e-38	1.498	1.408,  1.593	0.0353	0.136	0.61	0.594,  0.626	0.584	6.56	3.44	2.31	5.13	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_PT_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
174.1	Michailidou K et al. 2018	iCOGS_Overall_BRCA	Breast cancer [female], Overall	http://bcac.ccge.medschl.cam.ac.uk/bcacdata/oncoarray/oncoarray-and-combined-summary-result/gwas-summary-results-breast-cancer-risk-2017	Lassosum	s=0.5;Lambda=0.008859	18356	2.7e-47	1.585	1.489,  1.687	0.0464	0.136	0.625	0.609,  0.642	0.392	8.44	2.49	1.61	3.84	TRUE	TRUE	FALSE	PRSWEB_PHECODE174.1_iCOGS-Overall-BRCA_LASSOSUM_MGI_20200608	https://www.ncbi.nlm.nih.gov/pubmed/?term=29059683
